cell,size
2037,419
2038,476
2039,449
2040,482
2041,455
2042,460
2043,475
2044,450
2045,475
2046,515
2047,457
2048,483
2049,444
2050,488
2051,462
2052,477
2053,458
2054,455
2055,452
2056,442
2057,481
2058,497
2059,499
2060,412
2061,447
2062,442
2063,443
2064,474
2065,433
2066,483
2067,431
2068,477
2069,455
2070,442
2071,467
2072,446
2073,465
2074,446
2075,450
2076,465
2077,469
2078,435
2079,499
2080,477
2081,453
2082,500
2083,447
2084,481
2085,446
2086,419
2087,473
2088,469
2089,469
2090,490
2091,442
2092,459
2093,424
2094,437
2095,454
2096,483
2097,451
2098,473
2099,445
2100,457
2101,459
2102,452
2103,422
2104,445
2105,450
2106,451
2107,459
2108,454
2109,422
2110,450
2111,474
2112,432
2113,474
2114,456
2115,465
2116,489
2117,438
2118,491
2119,485
2120,447
2121,452
2122,482
2123,466
2124,461
2125,448
2126,468
2127,459
2128,468
2129,476
2130,472
2131,457
2132,494
2133,464
2134,492
2135,468
2136,461
2137,501
2138,479
2139,481
2140,410
2141,460
2142,474
2143,451
2144,444
2145,485
2146,470
2147,495
2148,437
2149,441
2150,497
2151,437
2152,502
2153,452
2154,462
2155,460
2156,454
2157,447
2158,436
2159,454
2160,438
2161,486
2162,467
2163,459
2164,454
2165,447
2166,473
2167,460
2168,448
2169,473
2170,468
2171,451
2172,476
2173,470
2174,492
2175,470
2176,444
2177,467
2178,453
2179,472
2180,450
2181,430
2182,432
2183,462
2184,480
2185,443
2186,459
2187,484
2188,459
2189,460
2190,476
2191,441
2192,434
2193,459
2194,471
2195,473
2196,442
2197,455
2198,481
2199,462
2200,452
2201,461
2202,488
2203,474
2204,482
2205,450
2206,440
2207,486
2208,468
2209,463
2210,475
2211,470
2212,440
2213,463
2214,449
2215,474
2216,460
2217,444
2218,466
2219,440
2220,465
2221,418
2222,470
2223,470
2224,479
2225,450
2226,455
2227,467
2228,484
2229,470
2230,493
2231,467
2232,457
2233,468
2234,419
2235,509
2236,455
2237,464
2238,464
2239,476
2240,457
2241,469
2242,461
2243,460
2244,442
2245,485
2246,498
2247,436
2248,488
2249,452
2250,458
2251,444
2252,491
2253,463
2254,456
2255,473
2256,466
2257,483
